Weekly users over time
Date,Weekly users
5/6/20,40087
5/7/20,38945
5/8/20,39917
5/9/20,41093
5/10/20,42272
5/11/20,41282
5/12/20,40827
5/13/20,40406
5/14/20,40196
5/15/20,39550
5/16/20,40940
5/17/20,42042
5/18/20,40646
5/19/20,40563
5/20/20,40324
5/21/20,39875
5/22/20,38758
5/23/20,39936
5/24/20,41035
5/25/20,39364
5/26/20,39073
5/27/20,38433
5/28/20,38641
5/29/20,38042
5/30/20,39279
5/31/20,40091
6/1/20,40929
6/2/20,39864
6/3/20,39707
6/4/20,39346
6/5/20,38498
6/6/20,39794
6/7/20,40869
6/8/20,40185
6/9/20,40454
6/10/20,40432
6/11/20,40220
6/12/20,39480
6/13/20,41088
6/14/20,42449
6/15/20,41367
6/16/20,40861
6/17/20,40439
6/18/20,39988
6/19/20,38285
6/20/20,38701
6/21/20,39780
6/22/20,39236
6/23/20,39505
6/24/20,39301
6/25/20,39068
6/26/20,37722
6/27/20,38337
6/28/20,39760
6/29/20,39464
6/30/20,39404
7/1/20,39297
7/2/20,39017
7/3/20,37739
7/4/20,38446
7/5/20,39957
7/6/20,40782
7/7/20,39244
7/8/20,38992
7/9/20,38889
7/10/20,38065
7/11/20,37948
7/12/20,39161
7/13/20,39040
7/14/20,40183
7/15/20,39802
7/16/20,38776
7/17/20,37036
7/18/20,37828
7/19/20,40364
7/20/20,42978
7/21/20,43513
7/22/20,46076
7/23/20,38453
7/24/20,36916
7/25/20,37635
7/26/20,39378
7/27/20,42187
7/28/20,42412
7/29/20,38291
7/30/20,37765
7/31/20,36165
8/1/20,36837
8/2/20,38222
8/3/20,37855
8/4/20,38018
8/5/20,37751
8/6/20,37504
8/7/20,36306
8/8/20,37014
8/9/20,38474
8/10/20,38619
8/11/20,38483
8/12/20,38295
8/13/20,38009
8/14/20,36330
8/15/20,36990
8/16/20,38286
8/17/20,38298
8/18/20,38479
8/19/20,38478
8/20/20,38034
8/21/20,36426
8/22/20,37073
8/23/20,38249
8/24/20,37955
8/25/20,37856
8/26/20,37408
8/27/20,36869
8/28/20,35523
8/29/20,36206
8/30/20,37311
8/31/20,37111
9/1/20,37252
9/2/20,37452
9/3/20,37690
9/4/20,36583
9/5/20,37295
9/6/20,38628
9/7/20,38183
9/8/20,38550
9/9/20,38256
9/10/20,37648
9/11/20,36255
9/12/20,37170
9/13/20,38835
9/14/20,39371
9/15/20,38941
9/16/20,38965
9/17/20,38380
9/18/20,36658
9/19/20,36672
9/20/20,37605
9/21/20,37331
9/22/20,37043
9/23/20,36771
9/24/20,36416
9/25/20,34775
9/26/20,35257
9/27/20,36625
9/28/20,36279
9/29/20,36749
9/30/20,36571
10/1/20,36031
10/2/20,34282
10/3/20,35054
10/4/20,36513
10/5/20,37272
10/6/20,37179
10/7/20,36969
10/8/20,36372
10/9/20,35961
10/10/20,36650
10/11/20,37662
10/12/20,37211
10/13/20,36572
10/14/20,36319
10/15/20,36410
10/16/20,35136
10/17/20,35386
10/18/20,35984
10/19/20,36194
10/20/20,36295
10/21/20,36051
10/22/20,35991
10/23/20,34518
10/24/20,34177
10/25/20,34676
10/26/20,33915
10/27/20,33666
10/28/20,33261
10/29/20,32025
10/30/20,30368
10/31/20,29983
11/1/20,30243
11/2/20,30239
11/3/20,29853
11/4/20,29171
11/5/20,28559
11/6/20,27343
11/7/20,27284
11/8/20,27337
11/9/20,27360
11/10/20,27243
11/11/20,27058
11/12/20,26972
11/13/20,26354
11/14/20,26243
11/15/20,26270
11/16/20,26276
11/17/20,26302
11/18/20,27458
11/19/20,27499
11/20/20,26282
11/21/20,26147
11/22/20,27113
11/23/20,28014
11/24/20,28035
11/25/20,27986
11/26/20,27624
11/27/20,25976
11/28/20,25688
11/29/20,26856
11/30/20,27395
12/1/20,27606
12/2/20,27560
12/3/20,27843
12/4/20,26500
12/5/20,26519
12/6/20,27714
12/7/20,28102
12/8/20,28008
