Weekly users over time
Date,Weekly users
5/6/20,31213
5/7/20,30289
5/8/20,30186
5/9/20,29929
5/10/20,30841
5/11/20,31197
5/12/20,31245
5/13/20,31399
5/14/20,31254
5/15/20,30278
5/16/20,30056
5/17/20,30938
5/18/20,31257
5/19/20,31530
5/20/20,31667
5/21/20,31591
5/22/20,30621
5/23/20,30353
5/24/20,31110
5/25/20,31199
5/26/20,31240
5/27/20,31058
5/28/20,31243
5/29/20,30266
5/30/20,29987
5/31/20,30394
6/1/20,31337
6/2/20,31523
6/3/20,31555
6/4/20,31618
6/5/20,30562
6/6/20,30292
6/7/20,31076
6/8/20,31407
6/9/20,31847
6/10/20,31973
6/11/20,31909
6/12/20,31124
6/13/20,30804
6/14/20,31570
6/15/20,32149
6/16/20,32305
6/17/20,32256
6/18/20,32267
6/19/20,31259
6/20/20,30713
6/21/20,31534
6/22/20,32123
6/23/20,32260
6/24/20,32227
6/25/20,32263
6/26/20,31264
6/27/20,30764
6/28/20,31603
6/29/20,32123
6/30/20,32299
7/1/20,32246
7/2/20,32181
7/3/20,30901
7/4/20,30335
7/5/20,31286
7/6/20,31947
7/7/20,32026
7/8/20,32339
7/9/20,32200
7/10/20,31443
7/11/20,30864
7/12/20,31705
7/13/20,32527
7/14/20,32800
7/15/20,32888
7/16/20,32578
7/17/20,31155
7/18/20,30522
7/19/20,31518
7/20/20,32180
7/21/20,32337
7/22/20,32023
7/23/20,31876
7/24/20,30637
7/25/20,30137
7/26/20,30788
7/27/20,31727
7/28/20,31935
7/29/20,32073
7/30/20,31926
7/31/20,30662
8/1/20,30001
8/2/20,30827
8/3/20,31454
8/4/20,31574
8/5/20,31549
8/6/20,31352
8/7/20,30193
8/8/20,29748
8/9/20,30576
8/10/20,31769
8/11/20,32074
8/12/20,32247
8/13/20,32327
8/14/20,31360
8/15/20,31008
8/16/20,32082
8/17/20,33114
8/18/20,33313
8/19/20,33505
8/20/20,33263
8/21/20,32006
8/22/20,31415
8/23/20,32129
8/24/20,33077
8/25/20,33406
8/26/20,33620
8/27/20,33676
8/28/20,32748
8/29/20,32303
8/30/20,33322
8/31/20,34317
9/1/20,34796
9/2/20,35128
9/3/20,35338
9/4/20,34205
9/5/20,33671
9/6/20,34068
9/7/20,34504
9/8/20,34754
9/9/20,34959
9/10/20,34758
9/11/20,33550
9/12/20,33058
9/13/20,33860
9/14/20,34838
9/15/20,35049
9/16/20,34998
9/17/20,34635
9/18/20,33681
9/19/20,33133
9/20/20,33874
9/21/20,34799
9/22/20,35118
9/23/20,35144
9/24/20,34782
9/25/20,33960
9/26/20,33247
9/27/20,34057
9/28/20,34944
9/29/20,35314
9/30/20,35490
10/1/20,35294
10/2/20,34395
10/3/20,33803
10/4/20,34903
10/5/20,36419
10/6/20,36660
10/7/20,36530
10/8/20,36293
10/9/20,36118
10/10/20,35602
10/11/20,36194
10/12/20,36855
10/13/20,37078
10/14/20,37392
10/15/20,37496
10/16/20,36661
10/17/20,36222
10/18/20,36698
10/19/20,37554
10/20/20,37768
10/21/20,37675
10/22/20,37622
10/23/20,36704
10/24/20,36086
10/25/20,36285
10/26/20,36924
10/27/20,37158
10/28/20,37087
10/29/20,36877
10/30/20,35773
10/31/20,34989
11/1/20,35425
11/2/20,36373
11/3/20,36268
11/4/20,35198
11/5/20,34453
11/6/20,32975
11/7/20,32414
11/8/20,32413
11/9/20,32479
11/10/20,32386
11/11/20,32712
11/12/20,32701
11/13/20,32339
11/14/20,32035
11/15/20,32099
11/16/20,32069
11/17/20,32447
11/18/20,33250
11/19/20,32549
11/20/20,31228
11/21/20,30711
11/22/20,31457
11/23/20,32613
11/24/20,32861
11/25/20,32784
11/26/20,32316
11/27/20,30554
11/28/20,29851
11/29/20,30716
11/30/20,31472
12/1/20,31692
12/2/20,31923
12/3/20,32276
12/4/20,31504
12/5/20,31069
12/6/20,31842
12/7/20,32504
12/8/20,32677
12/9/20,32749
12/10/20,32673
12/11/20,31137
12/12/20,30574
12/13/20,31566
12/14/20,32336
12/15/20,32440
12/16/20,32291
12/17/20,32145
12/18/20,30675
12/19/20,30084
12/20/20,30895
12/21/20,31308
12/22/20,31165
12/23/20,30820
12/24/20,29616
12/25/20,26756
12/26/20,26082
12/27/20,26843
12/28/20,26797
