Weekly users over time
Date,Weekly users
5/6/20,5513
5/7/20,5605
5/8/20,5650
5/9/20,5698
5/10/20,5782
5/11/20,5866
5/12/20,5956
5/13/20,6019
5/14/20,6042
5/15/20,6050
5/16/20,6030
5/17/20,6048
5/18/20,6145
5/19/20,6188
5/20/20,6221
5/21/20,6230
5/22/20,6274
5/23/20,6273
5/24/20,6332
5/25/20,6355
5/26/20,6460
5/27/20,6493
5/28/20,6452
5/29/20,6395
5/30/20,6382
5/31/20,6396
6/1/20,6540
6/2/20,6614
6/3/20,6674
6/4/20,6697
6/5/20,6579
6/6/20,6563
6/7/20,6669
6/8/20,6776
6/9/20,6825
6/10/20,6916
6/11/20,6892
6/12/20,6847
6/13/20,6855
6/14/20,7003
6/15/20,7160
6/16/20,7182
6/17/20,7234
6/18/20,7298
6/19/20,7238
6/20/20,7209
6/21/20,7267
6/22/20,7441
6/23/20,7611
6/24/20,7831
6/25/20,7789
6/26/20,7707
6/27/20,7719
6/28/20,7793
6/29/20,7758
6/30/20,8301
7/1/20,8115
7/2/20,8156
7/3/20,8065
7/4/20,8023
7/5/20,8082
7/6/20,8124
7/7/20,7609
7/8/20,7671
7/9/20,7711
7/10/20,7705
7/11/20,7688
7/12/20,7718
7/13/20,7800
7/14/20,7980
7/15/20,8411
7/16/20,8486
7/17/20,8377
7/18/20,8365
7/19/20,8459
7/20/20,8560
7/21/20,9059
7/22/20,8740
7/23/20,8666
7/24/20,8660
7/25/20,8777
7/26/20,8871
7/27/20,9001
7/28/20,8396
7/29/20,8448
7/30/20,8467
7/31/20,8336
8/1/20,8234
8/2/20,8357
8/3/20,8547
8/4/20,8918
8/5/20,9083
8/6/20,9129
8/7/20,9045
8/8/20,9128
8/9/20,9355
8/10/20,9554
8/11/20,9695
8/12/20,9713
8/13/20,9698
8/14/20,9639
8/15/20,9488
8/16/20,9567
8/17/20,10023
8/18/20,10149
8/19/20,10266
8/20/20,10401
8/21/20,10238
8/22/20,10284
8/23/20,10475
8/24/20,10222
8/25/20,10352
8/26/20,10321
8/27/20,10325
8/28/20,10452
8/29/20,10526
8/30/20,10516
8/31/20,10774
9/1/20,10693
9/2/20,10861
9/3/20,10837
9/4/20,10874
9/5/20,10755
9/6/20,11007
9/7/20,11481
9/8/20,11872
9/9/20,11987
9/10/20,12084
9/11/20,12036
9/12/20,12171
9/13/20,12475
9/14/20,12792
9/15/20,12911
9/16/20,13284
9/17/20,13740
9/18/20,13632
9/19/20,14260
9/20/20,14506
9/21/20,13988
9/22/20,13889
9/23/20,13396
9/24/20,12955
9/25/20,12967
9/26/20,12985
9/27/20,13073
9/28/20,13363
9/29/20,13332
9/30/20,13657
10/1/20,13904
10/2/20,13773
10/3/20,13817
10/4/20,14017
10/5/20,13850
10/6/20,14220
10/7/20,14285
10/8/20,14279
10/9/20,14621
10/10/20,14863
10/11/20,15586
10/12/20,15713
10/13/20,15590
