date,Hong Kong SAR,Ireland,Korea,United States
2020-03-08,2,2,0,0
2020-03-15,9,5,0,0
2020-03-22,6,9,0,0
2020-03-29,8,12,0,0
2020-04-05,4,4,0,0
2020-04-12,4,14,0,2
2020-04-19,3,2,0,1
2020-04-26,11,2,0,6
2020-05-03,18,10,0,20
2020-05-10,90,44,0,36
2020-05-17,69,81,0,58
2020-05-24,91,70,0,60
2020-05-31,135,87,0,64
2020-06-07,136,134,0,103
2020-06-14,179,191,0,133
2020-06-21,230,264,0,183
2020-06-28,263,215,0,181
2020-07-05,281,323,0,190
2020-07-12,297,318,0,312
2020-07-19,354,393,0,1455
2020-07-26,351,419,0,2506
2020-08-02,398,456,0,2459
2020-08-09,383,476,0,2494
2020-08-16,467,464,0,2690
2020-08-23,490,598,0,2813
2020-08-30,549,596,0,2958
2020-09-06,543,635,0,2947
2020-09-13,656,651,0,2598
2020-09-20,776,699,0,3223
2020-09-27,907,725,0,3503
2020-10-04,825,745,0,4121
2020-10-11,808,930,0,4123
2020-10-18,807,858,0,4033
2020-10-25,836,874,0,3212
2020-11-01,780,1081,0,2361
2020-11-08,879,1381,0,2350
2020-11-15,926,1552,0,2512
2020-11-22,920,1643,0,2601
2020-11-29,825,1276,0,1687
2020-12-06,844,1423,0,2032
2020-12-13,903,1509,0,2023
2020-12-20,792,1642,0,1816
2020-12-27,656,1220,0,1215
2021-01-03,565,1096,0,1111
2021-01-10,704,990,0,1439
2021-01-17,680,994,0,1853
2021-01-24,777,1131,0,2216
2021-01-31,831,1209,0,1684
2021-02-07,833,1059,0,1592
2021-02-14,996,1106,0,1644
2021-02-21,1042,1207,0,1851
2021-02-28,1120,1891,0,2398
2021-03-07,2655,4136,0,5663
2021-03-14,2824,4577,0,5841
2021-03-21,2897,4385,0,7250
2021-03-28,3443,4498,0,7160
2021-04-04,2995,3977,0,6771
2021-04-11,3012,3816,0,7285
2021-04-18,3396,4151,0,7117
2021-04-25,3650,6548,0,7603
2021-05-02,4056,6519,0,7611
2021-05-09,3826,5070,0,7830
2021-05-16,4085,4975,0,7782
2021-05-23,4425,5429,0,8049
2021-05-30,4547,5188,0,8162
2021-06-06,4672,5631,0,8074
2021-06-13,4811,5983,0,9080
2021-06-20,4763,6114,0,8786
2021-06-27,4431,6199,0,10142
2021-07-04,4938,6545,0,12454
2021-07-11,4965,6240,0,11371
2021-07-18,4942,6365,0,11952
2021-07-25,4802,6072,0,12372
2021-08-01,5015,6213,0,15359
2021-08-08,5076,5951,0,14912
2021-08-15,4920,5964,0,16885
2021-08-22,5295,6029,0,15489
2021-08-29,5205,9001,0,15677
2021-09-05,5255,6884,0,23471
2021-09-12,5137,7128,0,17967
2021-09-19,3978,8142,0,22122
2021-09-26,203,10281,0,24114
2021-10-03,53,10388,0,23045
2021-10-10,111,10961,0,23043
2021-10-17,69,11342,0,21753
2021-10-24,174,11816,0,24603
2021-10-31,3,11771,0,24876
2021-11-07,856,10969,0,23251
2021-11-14,4899,10462,0,21400
2021-11-21,5184,9658,0,22873
2021-11-28,5249,10549,0,20943
2021-12-05,5444,11139,0,23500
2021-12-12,5417,11309,0,24063
2021-12-19,5309,11200,0,24508
2021-12-26,4998,9951,0,22062
2022-01-02,4203,8803,0,19528
2022-01-09,5019,11935,0,24358
2022-01-16,5956,12590,0,23252
2022-01-23,5119,12174,0,24080
2022-01-30,5160,12415,0,23631
2022-02-06,4490,14345,0,21047
2022-02-13,2555,15095,0,21801
2022-02-20,1495,15122,0,22420
2022-02-27,2115,14772,0,22032
2022-03-06,5628,12224,0,20878
2022-03-13,5952,12933,0,21909
2022-03-20,5900,12889,0,23479
2022-03-27,6029,13435,0,22379
2022-04-03,6213,20635,0,22796
2022-04-10,6742,22762,0,24117
2022-04-17,6384,21007,0,22841
2022-04-24,6427,20423,422,24366
2022-05-01,6270,22523,572,24325
2022-05-08,6403,24400,418,23480
2022-05-15,3925,25224,4004,24022
2022-05-22,0,24717,7898,24460
2022-05-29,0,22411,7729,24789
2022-06-05,0,19609,7429,27513
2022-06-12,0,20452,7144,28841
2022-06-19,0,25448,8105,26641
2022-06-26,0,26865,15947,25455
2022-07-03,0,41999,7581,27410
2022-07-10,0,32427,7323,25859
2022-07-17,0,48876,8328,28322
2022-07-24,0,60537,7075,28640
2022-07-31,0,22908,6676,27050
2022-08-07,0,19151,6826,27165
2022-08-14,0,17557,6937,24042
2022-08-21,0,17947,19333,23798
2022-08-28,0,19584,27312,23747
2022-09-11,0,23555,26034,24596
2022-09-18,0,26829,27171,24993
2022-09-25,0,29083,27143,25983
2022-10-02,0,28149,26898,24301
2022-10-09,0,27232,26225,21940
2022-10-16,0,28637,24479,22973
2022-10-23,0,28565,26946,23177
2022-10-30,0,26880,25792,22703
2022-11-06,0,22556,26872,24983
2022-11-13,0,17030,27207,24096
2022-11-20,0,17775,27199,23049
2022-11-27,0,17164,27094,23467
2022-12-04,0,18248,27573,25064
2022-12-11,0,16500,26100,25089
2022-12-18,0,16799,26330,27802
2022-12-25,0,14991,26279,26025
2023-01-01,0,10849,24164,20549
2023-01-08,0,14281,25183,24436
2023-01-15,0,16206,27135,26696
2023-01-22,0,16971,27327,27908
2023-01-29,0,16974,26934,26862
2023-02-05,0,17635,27952,29494
2023-02-12,0,17360,28099,28561
2023-02-19,0,17097,27847,28826
2023-02-26,0,16655,27962,32932
2023-03-05,0,14939,29612,34711
2023-03-12,0,16725,27019,38240
2023-03-19,0,17917,27763,32157
2023-03-26,0,18338,27809,31221
2023-04-02,0,18944,28187,30236
2023-04-16,0,14394,25943,30270
2023-04-23,0,15517,31296,37234
2023-04-30,0,15327,27943,32741
2023-05-07,0,14612,24376,31547
2023-05-14,0,15398,27592,31749
2023-05-21,0,15073,26936,34856
2023-05-28,0,15517,24950,37408
2023-06-04,0,13736,25666,33865
2023-06-11,0,14333,24515,35242
2023-06-18,0,15943,25422,34052
2023-06-25,0,15548,25126,33663
2023-07-02,0,14200,25372,28467
2023-07-09,0,14691,26580,34702
2023-07-16,0,15057,26439,31774
2023-07-23,0,13845,25511,34499
2023-07-30,0,13424,25128,35179
2023-08-06,0,13267,25273,29607
2023-08-13,0,12819,25438,25854
2023-08-20,0,11903,24491,27129
2023-08-27,0,13265,26485,27296
2023-09-03,0,13094,25962,36653
2023-09-10,0,13692,26010,29726
2023-09-17,0,13068,25510,33885
2023-09-24,0,13339,9004,35855
2023-10-01,0,12614,8183,40811
2023-10-08,0,13061,9047,29451
2023-10-15,0,13326,7903,32764
2023-10-22,0,14049,7524,32300
2023-10-29,0,12833,7237,37132
2023-11-05,0,12765,9150,32847
2023-11-12,0,13491,10751,33204
2023-11-19,0,14221,9554,31663
2023-11-26,0,14161,6609,40240
2023-12-03,0,15407,6944,39583
2023-12-10,0,14044,8147,33298
2023-12-17,0,14764,7048,33556
2023-12-24,0,13647,7945,37975
2023-12-31,0,9444,5739,27502
2024-01-07,0,13735,5979,29863
2024-01-14,0,15372,7063,38882
2024-01-21,0,14259,9311,36774
2024-01-28,1685,11649,7083,43097
2024-02-04,7587,12233,1012,39901
2024-02-11,8488,12158,893,35425
2024-02-18,6740,11023,1077,36640
2024-02-25,10725,11814,885,40102
2024-03-03,8192,12192,1075,36296
2024-03-10,8613,12373,1327,31434
2024-03-17,11411,11178,1500,33447
2024-03-24,8650,10826,1639,35346
2024-03-31,7587,9331,1630,30257
2024-04-07,8125,9978,1381,31468
2024-04-14,6871,10112,1526,28089
2024-04-21,6686,10171,1818,30636
2024-04-28,7276,9464,1820,32701
2024-05-05,6673,9320,960,27365
2024-05-12,6324,9963,2069,28886
2024-05-19,5201,10030,2008,29712
2024-05-26,5044,10295,1712,33665
2024-06-02,5004,9929,1805,26725
2024-06-09,5182,10477,1932,25603
2024-06-16,4790,9415,1890,27724
2024-06-23,4835,10802,1530,28296
2024-06-30,4914,10099,1369,26470
2024-07-07,4929,10031,926,22692
2024-07-14,4731,9709,926,26963
2024-07-21,4898,9600,689,30902
2024-07-28,4478,9653,809,30172
2024-08-04,4460,9240,802,31033
2024-08-11,4550,9364,788,25272
2024-08-18,4373,8568,724,26386
2024-08-25,4433,8983,788,30504
2024-09-01,4392,9175,790,28068
2024-09-08,4410,10068,857,21413
2024-09-15,4274,9586,960,21981
2024-09-22,4221,9584,910,27143
2024-09-29,4188,10054,916,28476
2024-10-06,3810,9744,783,18628
2024-10-13,3459,9024,1232,18921
2024-10-20,3600,9055,1234,27009
2024-10-27,2727,3429,966,19747
2024-11-03,2658,3363,1053,9558
2024-11-10,2780,3722,1070,15137
2024-11-17,2745,3792,1051,16679
2024-11-24,2726,3891,1421,20607
2024-12-01,2647,3243,1042,14286
2024-12-08,2534,3304,996,12082
2024-12-15,2502,3131,1004,11092
2024-12-22,2439,3117,955,18529
2024-12-29,2156,2084,798,9584
2025-01-05,2195,2455,623,6331
2025-01-12,2563,3062,691,9593
2025-01-19,2575,3103,683,13768
2025-01-26,2545,3456,712,12787
2025-02-02,2307,3068,642,12483
2025-02-09,2390,3247,681,10051
2025-02-16,2507,2987,557,12824
2025-02-23,2496,3290,575,21966
2025-03-02,2433,2854,858,15313
2025-03-09,2298,3314,1195,13137
2025-03-16,2344,2935,904,13530
2025-03-23,2489,3265,801,20599
2025-03-30,2828,2999,613,14662
2025-04-06,2554,3242,520,11026
2025-04-13,2638,3072,548,10948
2025-04-20,2336,3130,611,15279
2025-04-27,0,2861,3074,20826
2025-05-04,0,3517,3517,9616
