applicationId,enabled,language,os,region,date,userCount
0RDCKCTLX34Q,,,,,2022-02-27,14
0RDCKCTLX34Q,,,,,2022-03-06,23
0RDCKCTLX34Q,,,,,2022-03-13,34
0RDCKCTLX34Q,,,,,2022-03-20,45
0RDCKCTLX34Q,,,,,2022-03-27,37
0RDCKCTLX34Q,,,,,2022-04-03,50
0RDCKCTLX34Q,,,,,2022-04-10,49
0RDCKCTLX34Q,,,,,2022-04-17,66
0RDCKCTLX34Q,,,,,2022-04-24,51
0RDCKCTLX34Q,,,,,2022-05-01,55
0RDCKCTLX34Q,,,,,2022-05-08,39
0RDCKCTLX34Q,,,,,2022-05-15,50
0RDCKCTLX34Q,,,,,2022-05-22,55
0RDCKCTLX34Q,,,,,2022-05-29,62
0RDCKCTLX34Q,,,,,2022-06-05,59
0RDCKCTLX34Q,,,,,2022-06-12,78
0RDCKCTLX34Q,,,,,2022-06-19,72
0RDCKCTLX34Q,,,,,2022-06-26,67
0RDCKCTLX34Q,,,,,2022-07-03,79
0RDCKCTLX34Q,,,,,2022-07-10,90
0RDCKCTLX34Q,,,,,2022-07-17,104
0RDCKCTLX34Q,,,,,2022-07-24,117
0RDCKCTLX34Q,,,,,2022-07-31,141
0RDCKCTLX34Q,,,,,2022-08-07,147
0RDCKCTLX34Q,,,,,2022-08-14,79
0RDCKCTLX34Q,,,,,2022-08-21,78
0RDCKCTLX34Q,,,,,2022-08-28,68
0RDCKCTLX34Q,,,,,2022-09-11,345
0RDCKCTLX34Q,,,,,2022-09-18,604
0RDCKCTLX34Q,,,,,2022-09-25,729
0RDCKCTLX34Q,,,,,2022-10-02,763
0RDCKCTLX34Q,,,,,2022-10-09,869
0RDCKCTLX34Q,,,,,2022-10-16,1077
0RDCKCTLX34Q,,,,,2022-10-23,1234
0RDCKCTLX34Q,,,,,2022-10-30,1233
0RDCKCTLX34Q,,,,,2022-11-06,1356
0RDCKCTLX34Q,,,,,2022-11-13,1497
0RDCKCTLX34Q,,,,,2022-11-20,1891
0RDCKCTLX34Q,,,,,2022-11-27,1891
0RDCKCTLX34Q,,,,,2022-12-04,2311
0RDCKCTLX34Q,,,,,2022-12-11,2655
0RDCKCTLX34Q,,,,,2022-12-18,2455
0RDCKCTLX34Q,,,,,2022-12-25,2525
0RDCKCTLX34Q,,,,,2023-01-01,1720
0RDCKCTLX34Q,,,,,2023-01-08,2443
0RDCKCTLX34Q,,,,,2023-01-15,2645
0RDCKCTLX34Q,,,,,2023-01-22,2871
0RDCKCTLX34Q,,,,,2023-01-29,3039
0RDCKCTLX34Q,,,,,2023-02-05,3075
0RDCKCTLX34Q,,,,,2023-02-12,3904
0RDCKCTLX34Q,,,,,2023-02-19,4149
0RDCKCTLX34Q,,,,,2023-02-26,7419
0RDCKCTLX34Q,,,,,2023-03-05,7194
0RDCKCTLX34Q,,,,,2023-03-12,7251
0RDCKCTLX34Q,,,,,2023-03-19,7354
0RDCKCTLX34Q,,,,,2023-03-26,7935
0RDCKCTLX34Q,,,,,2023-04-02,8041
0RDCKCTLX34Q,,,,,2023-04-16,7532
0RDCKCTLX34Q,,,,,2023-04-23,8143
0RDCKCTLX34Q,,,,,2023-04-30,9252
0RDCKCTLX34Q,,,,,2023-05-07,8773
0RDCKCTLX34Q,,,,,2023-05-14,9782
0RDCKCTLX34Q,,,,,2023-05-21,9596
0RDCKCTLX34Q,,,,,2023-05-28,10156
0RDCKCTLX34Q,,,,,2023-06-04,9385
0RDCKCTLX34Q,,,,,2023-06-11,9620
0RDCKCTLX34Q,,,,,2023-06-18,9178
0RDCKCTLX34Q,,,,,2023-06-25,9185
0RDCKCTLX34Q,,,,,2023-07-02,8861
0RDCKCTLX34Q,,,,,2023-07-09,9448
0RDCKCTLX34Q,,,,,2023-07-16,9283
0RDCKCTLX34Q,,,,,2023-07-23,9208
0RDCKCTLX34Q,,,,,2023-07-30,8915
0RDCKCTLX34Q,,,,,2023-08-06,9161
0RDCKCTLX34Q,,,,,2023-08-13,10376
0RDCKCTLX34Q,,,,,2023-08-20,9003
0RDCKCTLX34Q,,,,,2023-08-27,9293
0RDCKCTLX34Q,,,,,2023-09-03,9698
0RDCKCTLX34Q,,,,,2023-09-10,9735
0RDCKCTLX34Q,,,,,2023-09-17,10048
0RDCKCTLX34Q,,,,,2023-09-24,9831
0RDCKCTLX34Q,,,,,2023-10-01,10855
0RDCKCTLX34Q,,,,,2023-10-08,11184
0RDCKCTLX34Q,,,,,2023-10-15,11173
0RDCKCTLX34Q,,,,,2023-10-22,12166
0RDCKCTLX34Q,,,,,2023-10-29,9736
0RDCKCTLX34Q,,,,,2023-11-05,12194
0RDCKCTLX34Q,,,,,2023-11-12,11349
0RDCKCTLX34Q,,,,,2023-11-19,10729
0RDCKCTLX34Q,,,,,2023-11-26,10305
0RDCKCTLX34Q,,,,,2023-12-03,10805
0RDCKCTLX34Q,,,,,2023-12-10,11049
0RDCKCTLX34Q,,,,,2023-12-17,10635
0RDCKCTLX34Q,,,,,2023-12-24,9995
0RDCKCTLX34Q,,,,,2023-12-31,6531
0RDCKCTLX34Q,,,,,2024-01-07,9517
0RDCKCTLX34Q,,,,,2024-01-14,10624
0RDCKCTLX34Q,,,,,2024-01-21,11053
0RDCKCTLX34Q,,,,,2024-01-28,11336
0RDCKCTLX34Q,,,,,2024-02-04,11076
0RDCKCTLX34Q,,,,,2024-02-11,11416
0RDCKCTLX34Q,,,,,2024-02-18,11257
0RDCKCTLX34Q,,,,,2024-02-25,11479
0RDCKCTLX34Q,,,,,2024-03-03,11616
0RDCKCTLX34Q,,,,,2024-03-10,11378
0RDCKCTLX34Q,,,,,2024-03-17,12156
0RDCKCTLX34Q,,,,,2024-03-24,11505
0RDCKCTLX34Q,,,,,2024-03-31,10882
0RDCKCTLX34Q,,,,,2024-04-07,10854
0RDCKCTLX34Q,,,,,2024-04-14,11547
0RDCKCTLX34Q,,,,,2024-04-21,11680
0RDCKCTLX34Q,,,,,2024-04-28,11698
0RDCKCTLX34Q,,,,,2024-05-05,11380
0RDCKCTLX34Q,,,,,2024-05-12,11496
0RDCKCTLX34Q,,,,,2024-05-19,13285
0RDCKCTLX34Q,,,,,2024-05-26,12589
0RDCKCTLX34Q,,,,,2024-06-02,11960
0RDCKCTLX34Q,,,,,2024-06-09,12998
0RDCKCTLX34Q,,,,,2024-06-16,12565
0RDCKCTLX34Q,,,,,2024-06-23,12503
0RDCKCTLX34Q,,,,,2024-06-30,12881
0RDCKCTLX34Q,,,,,2024-07-07,12900
0RDCKCTLX34Q,,,,,2024-07-14,12658
0RDCKCTLX34Q,,,,,2024-07-21,13463
0RDCKCTLX34Q,,,,,2024-07-28,14252
0RDCKCTLX34Q,,,,,2024-08-04,12376
0RDCKCTLX34Q,,,,,2024-08-11,13404
0RDCKCTLX34Q,,,,,2024-08-18,12557
0RDCKCTLX34Q,,,,,2024-08-25,14984
0RDCKCTLX34Q,,,,,2024-09-01,14411
0RDCKCTLX34Q,,,,,2024-09-08,14050
0RDCKCTLX34Q,,,,,2024-09-15,15395
0RDCKCTLX34Q,,,,,2024-09-22,14012
0RDCKCTLX34Q,,,,,2024-09-29,13464
0RDCKCTLX34Q,,,,,2024-10-06,13151
0RDCKCTLX34Q,,,,,2024-10-13,12808
0RDCKCTLX34Q,,,,,2024-10-20,13465
0RDCKCTLX34Q,,,,,2024-10-27,11036
0RDCKCTLX34Q,,,,,2024-11-03,10537
0RDCKCTLX34Q,,,,,2024-11-10,10858
0RDCKCTLX34Q,,,,,2024-11-17,10787
0RDCKCTLX34Q,,,,,2024-11-24,11842
0RDCKCTLX34Q,,,,,2024-12-01,12160
0RDCKCTLX34Q,,,,,2024-12-08,12132
0RDCKCTLX34Q,,,,,2024-12-15,11599
0RDCKCTLX34Q,,,,,2024-12-22,10264
0RDCKCTLX34Q,,,,,2024-12-29,7204
0RDCKCTLX34Q,,,,,2025-01-05,7983
0RDCKCTLX34Q,,,,,2025-01-12,10309
0RDCKCTLX34Q,,,,,2025-01-19,10510
0RDCKCTLX34Q,,,,,2025-01-26,10701
0RDCKCTLX34Q,,,,,2025-02-02,10434
0RDCKCTLX34Q,,,,,2025-02-09,10621
0RDCKCTLX34Q,,,,,2025-02-16,10497
0RDCKCTLX34Q,,,,,2025-02-23,10300
0RDCKCTLX34Q,,,,,2025-03-02,10998
0RDCKCTLX34Q,,,,,2025-03-09,10811
0RDCKCTLX34Q,,,,,2025-03-16,11607
0RDCKCTLX34Q,,,,,2025-03-23,10894
0RDCKCTLX34Q,,,,,2025-03-30,10388
0RDCKCTLX34Q,,,,,2025-04-06,10138
0RDCKCTLX34Q,,,,,2025-04-13,10981
0RDCKCTLX34Q,,,,,2025-04-20,9838
0RDCKCTLX34Q,,,,,2025-04-27,9958
0RDCKCTLX34Q,,,,,2025-05-04,9653
