date,Hong Kong SAR,Ireland,Korea,United States
2022-02-27,2,11,0,1
2022-03-06,6,17,0,0
2022-03-13,8,26,0,0
2022-03-20,10,34,0,1
2022-03-27,10,26,0,1
2022-04-03,15,33,0,2
2022-04-10,13,35,0,1
2022-04-17,23,41,0,2
2022-04-24,18,30,1,2
2022-05-01,19,34,0,2
2022-05-08,20,16,0,3
2022-05-15,14,22,10,4
2022-05-22,0,34,18,3
2022-05-29,0,40,15,7
2022-06-05,0,32,17,10
2022-06-12,0,52,18,8
2022-06-19,0,39,26,7
2022-06-26,0,40,24,3
2022-07-03,0,42,29,8
2022-07-10,0,42,35,13
2022-07-17,0,56,38,10
2022-07-24,0,72,31,14
2022-07-31,0,90,37,14
2022-08-07,0,94,46,7
2022-08-14,0,41,36,2
2022-08-21,0,39,28,11
2022-08-28,0,28,34,6
2022-09-11,0,169,107,69
2022-09-18,0,313,166,125
2022-09-25,0,293,282,154
2022-10-02,0,309,253,201
2022-10-09,0,331,282,256
2022-10-16,0,409,370,298
2022-10-23,0,473,416,345
2022-10-30,0,452,399,382
2022-11-06,0,507,457,392
2022-11-13,0,533,508,456
2022-11-20,0,818,574,499
2022-11-27,0,839,515,537
2022-12-04,0,989,714,608
2022-12-11,0,1458,629,568
2022-12-18,0,1145,666,644
2022-12-25,0,1254,657,614
2023-01-01,0,631,574,515
2023-01-08,0,1222,618,603
2023-01-15,0,1204,750,691
2023-01-22,0,1293,781,797
2023-01-29,0,1564,646,829
2023-02-05,0,1467,736,872
2023-02-12,0,2146,762,996
2023-02-19,0,2318,849,982
2023-02-26,0,5419,919,1081
2023-03-05,0,4446,1516,1232
2023-03-12,0,4827,1171,1253
2023-03-19,0,4607,1239,1508
2023-03-26,0,5017,1202,1716
2023-04-02,0,5100,1257,1684
2023-04-16,0,4266,1306,1960
2023-04-23,0,4471,1308,2364
2023-04-30,0,4842,1259,3151
2023-05-07,0,4554,1112,3107
2023-05-14,0,4849,1213,3720
2023-05-21,0,4920,1264,3412
2023-05-28,0,5222,1262,3672
2023-06-04,0,5013,1293,3079
2023-06-11,0,5315,1310,2995
2023-06-18,0,5289,1354,2535
2023-06-25,0,5521,1421,2243
2023-07-02,0,5314,1383,2164
2023-07-09,0,5476,1410,2562
2023-07-16,0,5447,1384,2452
2023-07-23,0,5288,1383,2537
2023-07-30,0,5094,1534,2287
2023-08-06,0,5192,1595,2374
2023-08-13,0,5893,1537,2946
2023-08-20,0,5149,1501,2353
2023-08-27,0,5326,1623,2344
2023-09-03,0,5120,1609,2969
2023-09-10,0,5366,1573,2796
2023-09-17,0,5474,1536,3038
2023-09-24,0,5405,1659,2767
2023-10-01,0,6174,1601,3080
2023-10-08,0,6048,1689,3447
2023-10-15,0,6233,1711,3229
2023-10-22,0,6548,2213,3405
2023-10-29,0,4784,1813,3139
2023-11-05,0,6776,1918,3500
2023-11-12,0,5943,2041,3365
2023-11-19,0,5400,1623,3706
2023-11-26,0,5025,1629,3651
2023-12-03,0,5299,1638,3868
2023-12-10,0,4825,1780,4444
2023-12-17,0,5147,1694,3794
2023-12-24,0,5008,1387,3600
2023-12-31,0,2568,1131,2832
2024-01-07,0,4200,1289,4028
2024-01-14,0,4809,1597,4218
2024-01-21,0,5100,1929,4024
2024-01-28,166,4670,1877,4623
2024-02-04,2089,4645,228,4114
2024-02-11,2142,4489,261,4524
2024-02-18,2009,4790,185,4273
2024-02-25,2063,4788,242,4386
2024-03-03,2172,4781,202,4461
2024-03-10,2175,4700,199,4304
2024-03-17,2077,4860,201,5018
2024-03-24,2036,4782,181,4506
2024-03-31,2208,4250,205,4219
2024-04-07,2174,4145,198,4337
2024-04-14,1918,4392,187,5050
2024-04-21,2058,4528,186,4908
2024-04-28,2228,4487,174,4809
2024-05-05,2183,4353,134,4710
2024-05-12,2378,4206,185,4727
2024-05-19,2374,5619,182,5110
2024-05-26,2242,5526,159,4662
2024-06-02,1949,5085,497,4429
2024-06-09,2206,5206,158,5428
2024-06-16,2113,5037,173,5242
2024-06-23,2272,5060,176,4995
2024-06-30,2327,4784,162,5608
2024-07-07,2224,4565,174,5937
2024-07-14,2315,4515,187,5641
2024-07-21,2289,4737,149,6288
2024-07-28,2281,4281,212,7478
2024-08-04,2324,3927,285,5840
2024-08-11,2236,4121,162,6885
2024-08-18,2083,4146,181,6147
2024-08-25,2343,6357,190,6094
2024-09-01,2318,6532,167,5394
2024-09-08,2201,6845,160,4844
2024-09-15,2286,6744,153,6212
2024-09-22,2184,6318,166,5344
2024-09-29,2149,5577,143,5595
2024-10-06,2149,5570,191,5241
2024-10-13,1798,5414,535,5061
2024-10-20,1907,5408,512,5638
2024-10-27,1641,4861,503,4031
2024-11-03,1590,4602,342,4003
2024-11-10,1648,4916,319,3975
2024-11-17,1594,4954,303,3936
2024-11-24,1777,5788,308,3969
2024-12-01,1777,6303,275,3805
2024-12-08,1740,6188,241,3963
2024-12-15,1695,5858,251,3795
2024-12-22,1571,4708,268,3717
2024-12-29,1392,2646,183,2983
2025-01-05,1466,2975,156,3386
2025-01-12,1526,4750,242,3791
2025-01-19,1449,4728,243,4090
2025-01-26,1585,4775,322,4019
2025-02-02,1514,4944,234,3742
2025-02-09,1483,4891,239,4008
2025-02-16,1647,4852,129,3869
2025-02-23,1580,4793,153,3774
2025-03-02,1515,4795,249,4439
2025-03-09,1457,4870,246,4238
2025-03-16,1577,5536,237,4257
2025-03-23,1560,5310,214,3810
2025-03-30,1548,4675,169,3996
2025-04-06,1525,4888,132,3593
2025-04-13,1755,5787,131,3308
2025-04-20,1458,4665,170,3545
2025-04-27,0,4661,1627,3670
2025-05-04,0,4049,1795,3809
