ID,Creation time,Notes,Dev Internal,Name,Blocked,Regression,Story points,Owner,Phase,Severity,Sprint
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=205171"",""205171"")",Fri Nov 23 16:24:00 UTC 2018,todo: create us,No,[Angular 7] Wrong script sequence when record on auto complete control,No,New Feature,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180237"",""180237"")",Tue Aug 28 11:47:49 UTC 2018,wait environment,No,[UFT][CDN] Support CDN in UFT Burst execution,Yes,,0,Jie Zhang (Sagi),Ready for QA,,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=132252"",""132252"")",Mon Oct 19 08:00:00 UTC 2015,,No,"[Chrome Emulator, Replay] Can't identify the object ""WebFile""",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181362"",""181362"")",Fri Aug 31 18:04:01 UTC 2018,,No,"[Customer escalation] [UFT burst] When running a UFT test script with loops, doesn't show a way on (SRF results)",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181366"",""181366"")",Fri Aug 31 18:15:26 UTC 2018,,No,[Mobile recording] Duplicate WebArea.link step is recorded when recording on hybrid or web application in Android.,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180344"",""180344"")",Fri Aug 31 18:10:12 UTC 2018,,No,"[replay VNC] If close VNC manually during replay, it gets ""Failed to open Mobile device viewer window"" sometimes, and object path is ""Device.App.XXX"" for browser script.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180350"",""180350"")",Fri Aug 31 18:18:46 UTC 2018,,No,"'[Report] When running browser script on mobile device with RnR setting: Web -> disabled, Mobile -> SRF (browser), No environment info and error info in SRF result'",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180349"",""180349"")",Fri Aug 31 18:17:48 UTC 2018,,No,"[SRF RnR] ""To run Mobile test ***"" link should be disabled when ""Record and run on any browser"" is ticked. (Windows 7 only)",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180319"",""180319"")",Fri Aug 31 16:28:23 UTC 2018,Vika: check if postpone,No,[SRF][Task Force] It doesn't return concurrency license and device concurrency license when other error occurred during running UFT mobile burst iteration test.,No,Escaped Defect,,Jie Zhang (Sagi),Done,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181336"",""181336"")",Fri Aug 31 16:44:06 UTC 2018,P0,No,[SRF][UFT result] No warning summary in SRF result when the steps runs on SRF are passed while some steps running on local have warnings.,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181368"",""181368"")",Fri Aug 31 18:21:43 UTC 2018,,No,[UFT][Bitmap checkpoint][Mobile] Bitmap checkpoint step does not appear in SRF report.,No,Escaped Defect,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180345"",""180345"")",Fri Aug 31 18:12:16 UTC 2018,,No,"[UFT burst] [SRF Report] Some steps don't have result. (Pass or fail), such as Smart identification step.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181367"",""181367"")",Fri Aug 31 18:20:33 UTC 2018,,No,[UFT burst]WebTree.Collapse and WebTree.Expand cannot replay in Hybrid InApp,No,New Feature,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181363"",""181363"")",Fri Aug 31 18:05:24 UTC 2018,,No,"[UFT burst] When SRF server disconnects during execution, it will get ""Operation timeout expired"" error.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180329"",""180329"")",Fri Aug 31 17:35:52 UTC 2018,,No,[UFT Data drive] The character and number under Browser_version is not aligned  in datatable.,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Low,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180348"",""180348"")",Fri Aug 31 18:16:58 UTC 2018,,No,"[UFT] ""Don't show me again!"" checkbox should not show if tick on it even if user clicks Cancel for Tools/Option dialog.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180335"",""180335"")",Fri Aug 31 17:49:54 UTC 2018,,No,"[UFT mobile burst] If the device cannot be reserved during UFT mobile burst execution, the device info shown in SRF result is not so good.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180339"",""180339"")",Fri Aug 31 17:59:35 UTC 2018,,No,[UFT mobile burst] The error message is not proper when running scripts on the application is not injected with correct JS.,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180340"",""180340"")",Fri Aug 31 18:01:45 UTC 2018,,No,[UFT remote record] Got unexpected error sometimes if start record immediately after stopping record,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181365"",""181365"")",Fri Aug 31 18:10:54 UTC 2018,,No,"[UFT remote record] Sometimes when recording on a SRF device, no VNC is shown and device is not locked. And it will be fine if record again",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180331"",""180331"")",Fri Aug 31 17:40:44 UTC 2018,,No,"[UFT RnR] Should not show ""Failed to connect to SRF"" error message if user ticks ""Record and run on any open browser"" option.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
