ID,Creation time,Notes,Dev Internal,Name,Blocked,Regression,Story points,Owner,Phase,Severity,Sprint
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=126854"",""126854"")",Thu Jan 11 08:00:00 UTC 2018,Tsachi_Close,No,[Headless] WebTree could not replay as expect in headless mode,No,New Feature,1,'Yun-Sheng Liu',Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=205171"",""205171"")",Fri Nov 23 16:24:00 UTC 2018,todo: create us,No,[Angular 7] Wrong script sequence when record on auto complete control,No,New Feature,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180237"",""180237"")",Tue Aug 28 11:47:49 UTC 2018,wait environment,No,[UFT][CDN] Support CDN in UFT Burst execution,Yes,,0,Jie Zhang (Sagi),Ready for QA,,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=209302"",""209302"")",Thu Dec 13 21:07:18 UTC 2018,,No,[PaulG] Add env details to parallel runner report in CLI,Yes,,5,'Yong-Le Li',New,,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136241"",""136241"")",Tue Aug 30 08:00:00 UTC 2016,,No,"Accessibility Checkpoint ""AActiveX objects check"" could not identifie ActiveX or multimedia objects in the page when replaying test",No,Not a Regression,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=137195"",""137195"")",Tue Aug 30 08:00:00 UTC 2016,,No,"Applet where Accessibility Checkpoint ""Applet objects check"" is used, is not identified in the page when replaying test",No,,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181355"",""181355"")",Fri Aug 31 17:45:23 UTC 2018,,No,"'[Bug Hunt 1.20] -> Port number for SRF setting should be a separate field, rather than merged together with proxy address'",No,Escaped Defect,1,Jack Zhao,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=132252"",""132252"")",Mon Oct 19 08:00:00 UTC 2015,,No,"[Chrome Emulator, Replay] Can't identify the object ""WebFile""",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=279074"",""279074"")",Tue May 21 11:40:57 UTC 2019,,No,Copy of [QCCR1J101634]UFT 12.54 script opens multiple EPIC Login pop ups on Win10,No,Version Regression,,'Long-Ting Zhou',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=278072"",""278072"")",Wed May 22 12:34:14 UTC 2019,,No,Copy of [QCCR1J102136] IE crash issue caused by ScriptRunner memory leak,No,Escaped Defect,,'Long-Ting Zhou',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180394"",""180394"")",Tue Sep 04 15:21:00 UTC 2018,,No,Copy of [QCCR1J98440]Object can't be identified in the 2nd browser,No,Escaped Defect,,'Long-Ting Zhou',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181425"",""181425"")",Tue Sep 04 15:56:05 UTC 2018,,No,"Copy of [QCCR1J99079]when  selecting a Web List Box, getting a Not implemented error",No,Not a Regression,,'Long-Ting Zhou',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181362"",""181362"")",Fri Aug 31 18:04:01 UTC 2018,,No,"[Customer escalation] [UFT burst] When running a UFT test script with loops, doesn't show a way on (SRF results)",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=128984"",""128984"")",Wed Jan 04 08:00:00 UTC 2017,,No,[Fiori][Mobile] Unnecessary step recorded for SAPUIList.Select method.,No,,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181338"",""181338"")",Fri Aug 31 16:51:50 UTC 2018,Approved by committee 3.0,No,'[https://www.independenthealth.com] - Clicking Login fails to take you to the next page',No,Escaped Defect,1,zhun miao,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=107997"",""107997"")",Wed May 17 08:00:00 UTC 2017,split,No,Jenkins 5.2 enhancement in UFT,No,,,Jack Zhao,New,,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181366"",""181366"")",Fri Aug 31 18:15:26 UTC 2018,,No,[Mobile recording] Duplicate WebArea.link step is recorded when recording on hybrid or web application in Android.,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181356"",""181356"")",Fri Aug 31 17:48:23 UTC 2018,,No,"[Not always reproducible][Report]If fail to connect SRF when running a mobile test, it should show ""Failed to connect to SRF"" error instead of ""Failed to connect to HPE Mobile Center""",No,New Feature,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180333"",""180333"")",Fri Aug 31 17:44:21 UTC 2018,,No,"[Not always reproducible][UFT Burst] The error message is ""Operation time out execution"" when disconnected device during running mobile burst test.",No,Version Regression,1,,Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=211110"",""211110"")",Thu Dec 20 15:31:32 UTC 2018,,No,Object not found error message takes ~20 min to appear when IE Crashes,No,New Feature,,'Long-Ting Zhou',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=324178"",""324178"")",Sat Oct 12 10:40:54 UTC 2019,,No,Replaying objects takes too long,No,Escaped Defect,,'Long-Ting Zhou',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=324179"",""324179"")",Sat Oct 12 10:43:21 UTC 2019,,No,Replaying objects takes too long,No,Escaped Defect,,'Long-Ting Zhou',Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180344"",""180344"")",Fri Aug 31 18:10:12 UTC 2018,,No,"[replay VNC] If close VNC manually during replay, it gets ""Failed to open Mobile device viewer window"" sometimes, and object path is ""Device.App.XXX"" for browser script.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180350"",""180350"")",Fri Aug 31 18:18:46 UTC 2018,,No,"'[Report] When running browser script on mobile device with RnR setting: Web -> disabled, Mobile -> SRF (browser), No environment info and error info in SRF result'",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181359"",""181359"")",Fri Aug 31 17:53:51 UTC 2018,,No,[SRF Burst Result] The failed step has no TO properties compared with HTML result.,No,Escaped Defect,1,Jack Zhao,Rejected,Medium,
